C00001557 | Amaryllis belladonna hybrid
C00029260 | Cyrtanthus elatus
C00037569 | Cyrtanthus obliquus
C00001576 | Eucharis grandiflora
C00027877 | Eucharis amazonica
C00001417 | Galanthus plicatus spp.byzantinus
C00001417 | Galanthus elewesii
C00001570 | Galanthus caucasicus
C00001570 | Galanthus woronowii Losinsk.
C00001570 | Galanthus spp.
C00001570 | Galanthus nivalis
C00001570 | Galanthus elwesii Hook.
C00001570 | Galanthus elewesii
C00001571 | Galanthus elwesii
C00001572 | Galanthus nivalis
C00001576 | Galanthus nivalis
C00001576 | Galanthus woronowii Losinsk.
C00001576 | Galanthus elewesii
C00001576 | Galanthus caucasicus
C00001578 | Galanthus elwesii
C00001578 | Galanthus nivalis
C00005229 | Galanthus nivalis
C00005372 | Galanthus caucasicus
C00005413 | Galanthus caucasicus
C00024361 | Galanthus elewesii
C00024361 | Galanthus caucasicus
C00024370 | Galanthus nivalis
C00024371 | Galanthus elwesii
C00024372 | Galanthus elwesii
C00024384 | Galanthus elwesii
C00024390 | Galanthus caucasicus
C00024390 | Galanthus elewesii
C00024390 | Galanthus woronowii Losinsk.
C00024403 | Galanthus elewesii
C00024408 | Galanthus elwesii
C00024414 | Galanthus elewesii
C00024414 | Galanthus elwesii
C00024419 | Galanthus elewesii
C00024419 | Galanthus elwesii
C00024438 | Galanthus nivalis
C00024438 | Galanthus elwesii
C00024438 | Galanthus caucasicus
C00026714 | Galanthus plicatus spp.byzantinus
C00026817 | Galanthus plicatus subsp.byzantinus
C00027604 | Galanthus plicatus
C00027604 | Galanthus gracilis
C00027611 | Galanthus plicatus spp.byzantinus
C00027615 | Galanthus elewesii
C00027617 | Galanthus elewesii
C00027618 | Galanthus elewesii
C00027620 | Galanthus plicatus
C00027621 | Galanthus gracilis
C00027622 | Galanthus plicatus subsp.byzatinus
C00027623 | Galanthus byzantinus
C00027623 | Galanthus gracilis
C00027624 | Galanthus elewesii
C00027625 | Galanthus elewesii
C00027629 | Galanthus elewesii
C00027629 | Galanthus elwesii
C00027630 | Galanthus gracilis
C00027631 | Galanthus gracilis
C00027636 | Galanthus plicatus subsp.byzatinus
C00027661 | Galanthus plicatus spp.byzantinus
C00028290 | Galanthus elwesii
C00028390 | Galanthus nivalis
C00028682 | Galanthus elwesii
C00028683 | Galanthus plicatus subsp.byzatinus
C00028725 | Galanthus elwesii
C00029148 | Galanthus elwesii
C00029172 | Galanthus nivalis
C00001559 | Haemanthus albomaculatus
C00001571 | Haemanthus spp.
C00001571 | Haemanthus puniceus x katherinae
C00001573 | Haemanthus kalbreyeri
C00001577 | Haemanthus kalbreyeri
C00024391 | Haemanthus puniceus x katherinae
C00024395 | Haemanthus kalbreyeri
C00024399 | Haemanthus kalbreyeri
C00024430 | Haemanthus kalbreyeri
C00025229 | Haemanthus montanus
C00001561 | Hippeastrum punecium
C00001564 | Hippeastrum candidum
C00001568 | Hippeastrum punecium
C00001570 | Hippeastrum spp.
C00001572 | Hippeastrum equestre
C00001572 | Hippeastrum spp.
C00001572 | Hippeastrum vittatum
C00001576 | Hippeastrum vittatum
C00001576 | Hippeastrum equestre
C00001580 | Hippeastrum equestre
C00011227 | Hippeastrum equestre
C00024390 | Hippeastrum equestre
C00024394 | Hippeastrum vittatum L.'Herr.
C00024395 | Hippeastrum vittatum L.'Herr.
C00024397 | Hippeastrum ananua
C00024397 | Hippeastrum ananuca
C00024398 | Hippeastrum ananuca
C00024408 | Hippeastrum ananuca
C00024438 | Hippeastrum equestre
C00024438 | Hippeastrum vittatum L.'Herr.
C00024446 | Hippeastrum vittatum L.'Herr.
C00027030 | Hippeastrum vittatum Herbert
C00027661 | Hippeastrum equestre
C00027746 | Hippeastrum equestre
C00027753 | Hippeastrum equestre
C00028390 | Hippeastrum equestre
C00028697 | Hippeastrum equestre
C00028825 | Hippeastrum equestre
C00029079 | Hippeastrum equestre
C00039086 | Hippeastrum equestre Herb.
C00049909 | Hippeastrum vittatum
C00000604 | Hymenocallis littoralis
C00001566 | Hymenocallis arencola
C00001566 | Hymenocallis arenicola
C00001570 | Hymenocallis spp.
C00001576 | Hymenocallis x festalis
C00001576 | Hymenocallis tubiflora
C00001576 | Hymenocallis littoralis
C00001579 | Hymenocallis litroralis
C00001579 | Hymenocallis expansa
C00001579 | Hymenocallis speciosa
C00001579 | Hymenocallis sonorensis
C00001579 | Hymenocallis littoralis
C00001579 | Hymenocallis littorale
C00001580 | Hymenocallis tubiflora
C00001580 | Hymenocallis cayamansis
C00006708 | Hymenocallis spp.
C00024362 | Hymenocallis arenicola Northrop H
C00024391 | Hymenocallis arenicola Northrop H
C00024393 | Hymenocallis arenicola Northrop H
C00024413 | Hymenocallis amanacea
C00024433 | Hymenocallis tubiflora
C00024438 | Hymenocallis littoralis
C00024438 | Hymenocallis x festalis
C00024438 | Hymenocallis cayamansis
C00024438 | Hymenocallis arenicola Northrop H
C00024445 | Hymenocallis arenicola Northrop H
C00024447 | Hymenocallis arenicola Northrop H
C00027746 | Hymenocallis x festalis
C00028102 | Hymenocallis cayamansis
C00028390 | Hymenocallis x festalis
C00029148 | Hymenocallis x festalis
C00001580 | Ismene calithina
C00001570 | Leucojum spp.
C00001570 | Leucojum aestivum
C00001574 | Leucojum aestivum
C00001576 | Leucojum vernum
C00001576 | Leucojum aestivum L.
C00001578 | Leucojum aestivum
C00001580 | Leucojum aestivum
C00005163 | Leucojum vernum
C00005227 | Leucojum vernum
C00024356 | Leucojum vernum
C00024372 | Leucojum aestivum
C00024403 | Leucojum aestivum L.
C00024414 | Leucojum vernum
C00024419 | Leucojum aestivum L.
C00024438 | Leucojum aestivum L.
C00024441 | Leucojum aestivum L.
C00027661 | Leucojum vernum
C00027794 | Leucojum vernum
C00029148 | Leucojum aestivum
C00042187 | Leucojum vernum
C00042695 | Leucojum vernum
C00047181 | Leucojum aestivum
C00000952 | Lycoris radiata
C00001570 | Lycoris radiata Herb.
C00001570 | Lycoris spp.
C00001570 | Lycoris sanguinea
C00001572 | Lycoris radiata
C00001574 | Lycoris aurea
C00001574 | Lycoris radiata
C00001575 | Lycoris radiata
C00001575 | Lycoris sanguinea
C00001576 | Lycoris aurea
C00001576 | Lycoris sanguinea
C00001576 | Lycoris radiata
C00001577 | Lycoris sanguinea
C00001577 | Lycoris radiata
C00001577 | Lycoris longituba
C00001578 | Lycoris guangxiensis
C00001580 | Lycoris radiata
C00024361 | Lycoris radiata Herb.
C00024365 | Lycoris sanguinea Maxim
C00024366 | Lycoris sanguinea Maxim
C00024372 | Lycoris guangxiensis
C00024390 | Lycoris sanguinea
C00024395 | Lycoris sanguinea Maxim
C00024398 | Lycoris radiata Herb.
C00024405 | Lycoris aurea
C00024405 | Lycoris guangxiensis
C00024405 | Lycoris sanguinea Maxim
C00024405 | Lycoris longituba
C00024405 | Lycoris radiata Herb.
C00024411 | Lycoris guangxiensis
C00024417 | Lycoris radiata Herb.
C00024420 | Lycoris radiata Herb.
C00024427 | Lycoris squamigera
C00024427 | Lycoris radiata Herb.
C00024427 | Lycoris chinensis
C00024433 | Lycoris aurea
C00024433 | Lycoris guangxiensis
C00024433 | Lycoris radiata
C00024433 | Lycoris sanguinea
C00024436 | Lycoris sanguinea Maxim
C00024438 | Lycoris aurea
C00024438 | Lycoris sanguinea Maxim
C00024438 | Lycoris radiata
C00028714 | Lycoris sanguinea
C00028732 | Lycoris sanguinea
C00029172 | Lycoris radiata
C00051365 | Lycoris radiata
C00000619 | Narcissus tazetta var.chinensis
C00000844 | Narcissus tazetta var.chinensis
C00000950 | Narcissus pseudonarcissus
C00000953 | Narcissus pseudonarcissus
C00000971 | Narcissus pseudonarcissus
C00001418 | Narcissus tazetta var.chinensis
C00001569 | Narcissus bujei
C00001570 | Narcissus spp.
C00001570 | Narcissus confusus
C00001570 | Narcissus pseudonarcissus subsp.pseudonarcissus
C00001571 | Narcissus primigenius
C00001571 | Narcissus asturiensis
C00001571 | Narcissus bujei
C00001571 | Narcissus pseudonarcissus subsp.pseudonarcissus
C00001572 | Narcissus pseudonarcissus subsp.pseudonarcissus
C00001574 | Narcissus bujei
C00001574 | Narcissus tazetta L.
C00001574 | Narcissus poeticus
C00001576 | Narcissus tortuous
C00001576 | Narcissus tazetta L.
C00001576 | Narcissus pseudonarcissus
C00001576 | Narcissus poeticus L.
C00001576 | Narcissus folli
C00001577 | Narcissus spp.
C00001577 | Narcissus pseudonarcissus
C00001578 | Narcissus pseudonarcissus subsp.pseudonarcissus
C00001580 | Narcissus tazetta
C00002252 | Narcissus spp.
C00002725 | Narcissus spp.
C00003772 | Narcissus spp.
C00005182 | Narcissus poeticus
C00005548 | Narcissus tazetta
C00024352 | Narcissus requienii Roem.
C00024353 | Narcissus requienii Roem.
C00024361 | Narcissus tazetta L.
C00024361 | Narcissus primigenius
C00024361 | Narcissus bujei
C00024372 | Narcissus angustifolius subsp. transcanpathicus
C00024389 | Narcissus tazetta L.
C00024390 | Narcissus incomparabilis
C00024390 | Narcissus poeticus
C00024390 | Narcissus pseudonarcissus L.
C00024391 | Narcissus asturiensis
C00024391 | Narcissus tazetta L.
C00024398 | Narcissus tazetta L.
C00024398 | Narcissus bujei
C00024398 | Narcissus poeticus L.
C00024398 | Narcissus primigenius
C00024405 | Narcissus pseudonarcissus subsp.pseudonarcissus
C00024405 | Narcissus papyraceus Kerl-Gawl
C00024405 | Narcissus tazetta L.
C00024408 | Narcissus tazetta L.
C00024408 | Narcissus papyraceus Kerl-Gawl
C00024412 | Narcissus poeticus
C00024413 | Narcissus poeticus
C00024414 | Narcissus pseudonarcissus subsp.pseudonarcissus
C00024420 | Narcissus pseudonarcissus subsp.pseudonarcissus
C00024420 | Narcissus bujei
C00024421 | Narcissus tazetta L.
C00024426 | Narcissus papyraceus Kerl-Gawl
C00024426 | Narcissus tazetta var.chinensis
C00024427 | Narcissus tazetta L.
C00024428 | Narcissus poeticus
C00024433 | Narcissus tazetta L.
C00024433 | Narcissus papyraceus Kerl-Gawl
C00024433 | Narcissus angustifolius subsp. transcanpathicus
C00024433 | Narcissus requienii Roem.
C00024438 | Narcissus poeticus L.
C00024438 | Narcissus tazetta L.
C00024438 | Narcissus papyraceus Kerl-Gawl
C00024438 | Narcissus folli
C00024438 | Narcissus bujei
C00024438 | Narcissus asturiensis
C00024446 | Narcissus pseudonarcissus subsp.pseudonarcissus
C00027649 | Narcissus pseudonarcissus
C00027656 | Narcissus pseudonarcissus
C00027663 | Narcissus bujei
C00027746 | Narcissus asturiensis
C00027793 | Narcissus pseudonarcissus
C00027794 | Narcissus angustifolius subsp. transcanpathicus
C00027990 | Narcissus bujei
C00028567 | Narcissus bujei
C00028645 | Narcissus angustifolius subsp. transcanpathicus
C00028752 | Narcissus pseudonarcissus
C00028757 | Narcissus pseudonarcissus subsp.pseudonarcissus
C00028767 | Narcissus bujei
C00028767 | Narcissus pseudonarcissus subsp.pseudonarcissus
C00028793 | Narcissus angustifolius subsp. transcanpathicus
C00028793 | Narcissus poeticus L.
C00029172 | Narcissus angustifolius subsp. transcanpathicus
C00029179 | Narcissus tortuous
C00029179 | Narcissus angustifolius subsp. transcanpathicus
C00001558 | Nerine crispa
C00001561 | Nerine filifolia
C00001562 | Nerine filifolia
C00024372 | Nerine bowdenii W.C.R.Wats.
C00024440 | Nerine flexuosa alba
C00024440 | Nerine filifolia
C00025308 | Nerine flexuosa
C00027662 | Nerine filifolia
C00035178 | Nerine filifolia
C00035179 | Nerine filifolia
C00000943 | Pancratium biflorum
C00000977 | Pancratium maritimum L.
C00001569 | Pancratium foetidum
C00001570 | Pancratium spp.
C00001571 | Pancratium canariense
C00001571 | Pancratium sickenbergeri
C00001572 | Pancratium canariense
C00001576 | Pancratium canariense
C00001576 | Pancratium sickenbergeri
C00001576 | Pancratium maritimum L.
C00001576 | Pancratium foetidum
C00001579 | Pancratium littorale
C00001580 | Pancratium biflorum
C00002417 | Pancratium biflorum
C00002695 | Pancratium biflorum
C00002710 | Pancratium biflorum
C00005192 | Pancratium maritium
C00006925 | Pancratium maritimum L.
C00006939 | Pancratium biflorum
C00008239 | Pancratium maritimum L.
C00008752 | Pancratium maritimum
C00008756 | Pancratium biflorum
C00008781 | Pancratium maritimum
C00013387 | Pancratium maritimum
C00024384 | Pancratium foetidum
C00024384 | Pancratium maritimum
C00024391 | Pancratium foetidum
C00024391 | Pancratium sickenbergeri
C00024391 | Pancratium canariense
C00024391 | Pancratium trianthum
C00024406 | Pancratium biflorum Roxb.
C00024414 | Pancratium maritium
C00024414 | Pancratium sickenbergeri
C00024433 | Pancratium biflorum Roxb.
C00024434 | Pancratium biflorum Roxb.
C00024438 | Pancratium canariense
C00024438 | Pancratium trianthum
C00024438 | Pancratium biflorum Roxb.
C00024438 | Pancratium maritimum
C00024439 | Pancratium trianthum
C00024441 | Pancratium canariense
C00024446 | Pancratium canariense
C00024446 | Pancratium sickenbergeri
C00027600 | Pancratium sickenbergeri
C00027608 | Pancratium maritimum
C00027661 | Pancratium canariense
C00027661 | Pancratium sickenbergeri
C00028793 | Pancratium sickenbergeri
C00028793 | Pancratium maritimum L.
C00028793 | Pancratium canariense
C00028794 | Pancratium maritimum
C00047153 | Pancratium canariense
C00047329 | Pancratium canariense
C00047330 | Pancratium canariense
C00047331 | Pancratium canariense
C00047332 | Pancratium canariense
C00028793 | Rhodophiala bifida
C00001571 | Sprekelia formosissima
C00001576 | Sprekelia formosissima Herb.
C00001580 | Sprekelia formosissima
C00024391 | Sprekelia formosissima
C00024438 | Sprekelia formosissima
C00027746 | Sprekelia formosissima
C00028390 | Sprekelia formosissima
C00001572 | Sternbergia lutea
C00001576 | Sternbergia lutea
C00024390 | Sternbergia lutea ker-Gawl
C00024396 | Sternbergia lutea ker-Gawl
C00024404 | Sternbergia lutea ker-Gawl
C00024437 | Sternbergia lutea ker-Gawl
C00024438 | Sternbergia lutea ker-Gawl
C00001570 | Ungernia spp.
C00001572 | Ungernia sewerzowii
C00001572 | Ungernia vvedenskyi
C00001572 | Ungernia trisphaera
C00001572 | Ungernia spiralis
C00001576 | Ungernia trisphaera
C00001576 | Ungernia sewerzowii
C00001578 | Ungernia vvedenskyi
C00001578 | Ungernia victoris
C00001578 | Ungernia severtzovii
C00024391 | Ungernia trisphaera
C00024391 | Ungernia vvedenskyi
C00024438 | Ungernia vvedenskyi
C00024438 | Ungernia sewerzowii
C00024438 | Ungernia spiralis
C00024438 | Ungernia trisphaera
C00024441 | Ungernia vvedenskyi
C00024442 | Ungernia vvedenskyi
C00024444 | Ungernia vvedensky
C00024444 | Ungernia vvedenskyi
C00029148 | Ungernia trisphaera
C00029172 | Ungernia minor
C00001567 | Zephyranthes carinata
C00001567 | Zephyranthes grandiflora
C00001571 | Zephyranthes citrina
C00001576 | Zephyranthes texana
C00001576 | Zephyranthes rosea Lindl.
C00001576 | Zephyranthes citrina
C00001576 | Zephyranthes candida
C00001579 | Zephyranthes grandiflora
C00001580 | Zephyranthes carinata
C00001580 | Zephyranthes candida
C00008759 | Zephyranthes flava
C00008773 | Zephyranthes flava
C00008774 | Zephyranthes flava
C00008778 | Zephyranthes flava
C00024390 | Zephyranthes carinata Herb.
C00024390 | Zephyranthes citrina
C00024391 | Zephyranthes citrina
C00024408 | Zephyranthes rosea
C00024408 | Zephyranthes robusta
C00024408 | Zephyranthes citrina
C00024408 | Zephyranthes carinata Herb.
C00024413 | Zephyranthes citrina
C00024438 | Zephyranthes sulphurea
C00024438 | Zephyranthes candida
C00024446 | Zephyranthes citrina
C00027714 | Zephyranthes carinata
C00027715 | Zephyranthes carinata
C00028784 | Zephyranthes citrina
C00029259 | Zephyranthes citrina Baker
C00029260 | Zephyranthes candida
